id,ibm_date,ibm_score,ibm_label,ibm_content
wired,2023-10-27T11:00:00Z,-0.5961,negative,"In lithium-ion batteries, thats no longer the case. Modern batteries are capable of reading their state no matter their level of charge, and when your device isnt in use the strain on the battery is … [+3255 chars]"
the-verge,2023-11-07T14:00:00Z,0.6783,positive,"Redwood Materials will recycle stationary storage batteries as it expands its scope
Redwood Materials will recycle stationary storage batteries as it expands its scope
 / The company is recycling b… [+3842 chars]"
the-verge,2023-10-27T00:16:44Z,-0.8783,negative,"Ford hits the brakes on $12 billion in EV spending because EVs are too expensive
Ford hits the brakes on $12 billion in EV spending because EVs are too expensive
 / The car company says it isnt bac… [+2216 chars]"
ars-technica,2023-10-31T11:00:53Z,0.2886,positive,"Enlarge/ GreenPower has given its class-D electric school bus a big battery bump.
39 with 
On Tuesday morning, the West Virginia-based GreenPower Motor Company debuted its latest electric vehicle. … [+4366 chars]"
ars-technica,2023-11-13T18:59:10Z,0.0,neutral,"Enlarge/ These are piles of lithium harvested in Bolivia; Exxon's site in Arkansas will look almost entirely unlike this as it will use direct lithium extraction, not evaporation, to harvest the mine… [+1611 chars]"
business-insider,2023-11-03T16:37:44Z,-0.5678,negative,"BP's EV charging arm has bought $100 million worth of Tesla Superchargers.BP
<ul><li>Big Oil companies have dreams of becoming Big EV. </li><li>Fossil fuel heavyweights are making investments in EV … [+2964 chars]"
time,2023-11-07T14:41:00Z,-0.7521,negative,"A lithium-ion battery recycler and a program to end illegal fishing are among the winners of Prince Williams Earthshot Prize, which supports companies tackling the environmental crisis.
The five cha… [+2296 chars]"
abc-news,2023-11-14T20:30:35Z,-0.7716,negative,"NEW YORK -- New York City officials say retailers and food delivery companies must do more to halt the proliferation of unsafe e-bike and e-scooter batteries, after a fire blamed on an electric scoot… [+3372 chars]"
business-insider,2023-11-04T16:39:51Z,-0.7674,negative,"Jimmy Levy appeared on the 2019 season of ""American Idol.""Eliza Morse/ABC via Getty Images
<ul>
<li>Former 'American Idol' star Jimmy Levy's bag caught fire while his JetBlue flight sat at the gate.… [+2937 chars]"
business-insider,2023-11-13T09:00:02Z,-0.392,negative,"Your fake AirPods may be able to fool others at a glance, but Lumafield used a CT scanner to show what's really going on with counterfeits.Jon Bruner/Lumafield
<ul>
<li>There are some major differen… [+3413 chars]"
the-next-web,2023-11-16T13:37:46Z,0.0,neutral,"For UK battery startup NyoBolt, six seems to be the magic number. First, in June it showcased an EV that could be fully charged in just six minutes (a claimed record). And today it unveiled a new kin… [+3589 chars]"
business-insider,2023-10-29T12:19:01Z,0.6035,positive,"The National Spherical Torus Experiment-Upgrade (NSTX-U) at the Princeton Plasma Physics Laboratory.Elle Starkman, PPPL
<ul>
<li>It's been almost 90 years since scientists made the first fusion reac… [+8038 chars]"
al-jazeera-english,2023-11-07T15:06:19Z,0.0,neutral,Portuguese Prime Minister Antonio Costa has said he is resigning amid an investigation into into alleged irregularities committed by his administration in handling lithium mining and hydrogen project… [+742 chars]
the-next-web,2023-11-10T07:00:50Z,0.838,positive,"Climate tech is receiving a proportionally larger share of what is, undeniably, a muted venture capital investment environment. VC and private equity investment in the sector has, thus far in 2023, f… [+8154 chars]"
al-jazeera-english,2023-11-09T20:58:07Z,0.0,neutral,"Portugals President Marcelo Rebelo de Sousa has dissolved parliament and called snap elections, two days after the countrys prime minister resigned amid a continuing corruption investigation.
Rebelo… [+2488 chars]"
techradar,2023-11-11T05:21:09Z,0.6178,positive,"Researchers have found that adding salt to computer systems can prevent devices from overheating and boost performance by more than 32%. 
A team at the City University of Hong Kong hope this passive… [+2005 chars]"
new-york-magazine,2023-11-13T19:46:50Z,0.0,neutral,"Over the weekend, ExxonMobil  the oil-and-gas giant announced it would also become one of the countrys largest producers of lithium, the metal used to power electric vehicles. It turns out that Arkan… [+1952 chars]"
business-insider,2023-11-13T12:59:10Z,-0.7416,negative,"A Tesla owner said he heard a hissing sound coming from the battery the day before it caught fire in his garage. 
The vehicle, a Model X, caught alight Friday and took firefighters hours to put out… [+2257 chars]"
techradar,2023-11-06T12:24:23Z,0.6935,positive,"Phone batteries could be in Apple’s sights for its next bit of in-house developed hardware, which may lead to iPhones with significantly boosted battery life. 
That’s according to a report by Korean… [+2210 chars]"
politico,2023-11-08T23:15:00Z,0.0,neutral,"Bidens GOP critics, including former President Donald Trump, have latched onto the claim that these programs are a giveaway to Beijing, whose companies dominate the global supply chain for green tech… [+6961 chars]"
the-wall-street-journal,2023-11-13T13:00:00Z,-0.2816,negative,"Exxon Mobil said Monday it is starting to drill 
for lithium in Arkansas and aims to become a major U.S. supplier for makers of electric-vehicle batteries by 2030.  The Texas-based oil companys entr… [+452 chars]"
cbs-news,2023-11-10T19:41:30Z,0.7544,positive,"Walmart
Planning some end-of-year home improvement projects before guests arrive for Thanksgiving and Christmas? We've found a pretty incredible deal on a tool kit that you're going to need to do th… [+1446 chars]"
new-scientist,2023-10-31T15:00:23Z,0.6051,positive,"Passive cooling could be more efficient using a device containing a salty water solution
daniiD/Shutterstock
Computers could see their performance jump by one third through an inexpensive cooling s… [+2046 chars]"
fortune,2023-11-15T20:00:00Z,0.0,neutral,"On this weeks episode of Fortunes Leadership Next podcast, co-host Alan Murray talks with chemist Christina Lampe-Önnerud, the CEO of Cadenza Innovation, about her efforts to power the battery indust… [+33594 chars]"
fortune,2023-10-31T20:37:05Z,0.0,neutral,"Toyota will invest an additional $8 billion in the hybrid and electric vehicle battery factory its constructing in North Carolina, more than doubling its prior investments and expected number of new … [+3679 chars]"
techradar,2023-11-11T10:00:53Z,-0.404,negative,"The EICMA show tends to only appear on the radar of ardent motorcycle fans, as it's the motor show to attend if you want to catch a glimpse of fresh metal, the occasional concept machine, and the lat… [+7964 chars]"
fortune,2023-11-14T11:01:44Z,0.0,neutral,"Exxon in early 2023 acquired the rights to 120000 gross acres (48562 gross hectares) of the Smackover formation in southern Arkansas, considered one of the most prolific lithium resources of its type… [+1619 chars]"
breitbart-news,2023-11-14T21:12:16Z,0.0,neutral,Stellantis is offering to buy out thousands of its American white-collar employees as a result of the company’s transition to electric vehicles (EVs) — a move spurred by tax credits from President Jo… [+3045 chars]
fortune,2023-11-15T17:09:50Z,-0.416,negative,"The Energy Department is making a push to strengthen the U.S. battery supply chain, announcing up to $3.5 billion for companies that produce batteries and the critical minerals that go into them.Batt… [+4202 chars]"
cbs-news,2023-11-12T21:12:15Z,0.0,neutral,"Recipients of the 2023 Earthshot Prize Awards were officially chosen last week in Singapore, marking the third annual ceremony where Prince William's climate-focused charity recognized companies that… [+5156 chars]"
cbs-news,2023-11-07T01:59:00Z,-0.8139,negative,"Captain in deadly Conception boat fire found guilty 
Captain in deadly Conception boat fire found guilty02:00
A jury has found a former captain guilty in the Conception boat fire that killed 33 pas… [+2189 chars]"
business-insider,2023-11-15T11:16:25Z,-0.7687,negative,"NEW YORK (AP) New York City officials say retailers and food delivery companies must do more to halt the proliferation of unsafe e-bike and e-scooter batteries, after a fire blamed on an electric sco… [+3630 chars]"
the-verge,2023-11-02T13:00:00Z,0.0,neutral,"Redwood Materials is recycling its first stationary storage substation
Redwood Materials is recycling its first stationary storage substation
 / The company is going to help decommission and recycl… [+2468 chars]"
the-verge,2023-11-13T18:04:45Z,0.0,neutral,"ExxonMobil is a lithium company now
ExxonMobil is a lithium company now
 / ExxonMobil plans on extracting and producing battery-grade lithium from the Smackover Formation in Arkansas.
ByEmma Roth,… [+2526 chars]"
abc-news,2023-11-07T13:50:10Z,0.0,neutral,"LISBON, Portugal -- Portuguese police have arrested the chief of staff of Prime Minister António Costa while making multiple raids of public buildings and other properties as part of a widespread cor… [+1217 chars]"
breitbart-news,2023-11-10T18:40:51Z,-0.4535,negative,"A Tesla vehicle caught fire in Plano, Texas, early Friday morning, leading to concerns about electric vehicle battery safety. The owner claims he just had a new battery installed by Elon Musk’s compa… [+3033 chars]"
breitbart-news,2023-11-04T13:00:43Z,-0.6507,negative,"President Biden is the most pro-union president in history has become the White Houses go-to response to the recent strike that had upturned American auto manufacturing.
UAW victories may lift Biden… [+9793 chars]"
abc-news,2023-10-31T13:42:59Z,0.0,neutral,"RALEIGH, N.C. -- Toyota will invest an additional $8 billion in the hybrid and electric vehicle battery factory it's constructing in North Carolina, more than doubling its prior investments and expec… [+3480 chars]"
fortune,2023-10-31T11:15:22Z,-0.6701,negative,"Since Russian President Vladimir Putin invaded Ukraine, most of the attention has focused on Russias imagined security dangers on its western border, the threat of Ukraines democratic success as a mo… [+5789 chars]"
breitbart-news,2023-11-11T16:49:00Z,0.0,neutral,Chinese dictator Xi Jinping will attend the Asia-Pacific Economic Cooperation (APEC) summit in San Francisco next week and is scheduled to be the guest of honor at a dinner attended by hundreds of U.… [+6132 chars]
abc-news,2023-11-13T18:22:15Z,0.0,neutral,"LITTLE ROCK, Ark. -- Exxon Mobil on Monday announced it's drilling for lithium in southern Arkansas, with the oil giant expected to begin production of the critical material for electric vehicles by … [+1835 chars]"
next-big-future,2023-11-02T17:42:00Z,0.0,neutral,"In January, 2022, The first molecular electronics chip was developed. This achieved a 50-year-old goal of integrating single molecules into circuits toachieve the ultimate scaling limits of Moores La… [+7733 chars]"
fortune,2023-11-09T17:52:41Z,0.3846,positive,"American policymakers and automakers just got a big wake-up call with Chinas announcement that it will require a special export license for battery-grade graphite, effectively restricting exports. Wh… [+4077 chars]"
abc-news,2023-11-15T14:14:30Z,-0.3041,negative,"The Energy Department is making a push to strengthen the U.S. battery supply chain, announcing up to $3.5 billion for companies that produce batteries and the critical minerals that go into them.
Ba… [+4216 chars]"
abc-news,2023-11-07T13:50:14Z,0.0,neutral,"LISBON, Portugal -- Portuguese police have arrested the chief of staff of Prime Minister António Costa while making multiple raids of public buildings and other properties as part of a widespread cor… [+1217 chars]"
abc-news,2023-11-14T19:50:13Z,-0.7716,negative,"NEW YORK -- New York City officials say retailers and food delivery companies must do more to halt the proliferation of unsafe e-bike and e-scooter batteries, after a fire blamed on an electric scoot… [+3035 chars]"
newsweek,2023-11-15T00:21:05Z,0.8768,positive,"This Wednesday, November 15, is America Recycles Day, a nationally recognized day dedicated to the importance of recycling.
It's also the perfect time to develop your understanding of recycling, lea… [+4815 chars]"
nbc-news,2023-11-06T19:36:40Z,-0.7859,negative,"The lithium-ion battery is a near-ubiquitous technology with a serious flaw: They sometimes catch on fire. 
A video of crew and passengers aboard a JetBlue flight feverishly dumping water on a backp… [+4272 chars]"
fortune,2023-11-14T12:30:27Z,-0.561,negative,"Economic leaders are looking to the past for some inspiration on how to deal with the presentthe only issue is, no one seems to be able to agree which past era they should be studying. Deutsche Bank … [+4294 chars]"
abc-news,2023-11-01T06:22:34Z,0.6487,positive,"TOKYO -- Toyotas July-September profit jumped nearly threefold from a year ago as vehicle sales grew around the world and a cheap yen boosted the Japanese automakers overseas earnings.
Toyota Motor … [+2983 chars]"
abc-news,2023-11-15T17:34:09Z,-0.7607,negative,"RABAT, Morocco -- A mining company controlled by Morocco 's royal family on Wednesday denied claims that operations at a site used to mine minerals for car batteries were causing hazardous levels of … [+2909 chars]"
abc-news,2023-10-29T08:06:27Z,0.6301,positive,TOKYO -- Trade and economy officials from the Group of Seven wealthy democracies strengthened their pledge Sunday to work together to ensure smooth supply chains for essentials like energy and food d… [+3548 chars]
new-scientist,2023-10-30T19:00:25Z,0.0,neutral,"The Athel tamarisk has ingenious ways of surviving in a dry climate
Shutterstock / Wirestock Creators
An evergreen desert shrub common in the Middle East excretes salt crystals onto its leaves that… [+2510 chars]"
newsweek,2023-10-30T16:13:19Z,0.448,positive,"Around the world, entrepreneurs are trying to turn green tech ideas into viable businesses. Many are working with technology that has been proven to work, but is too expensive for widespread use. The… [+11350 chars]"
next-big-future,2023-11-14T18:11:34Z,0.0,neutral,The NT Times had a recent article discussing laser nuclear fusion. Nextbigfuture has spoken with all of the nuclear fusion companies listed in the NY Times article as they all attended the 2023 Inter… [+10972 chars]
wired,2023-11-08T20:08:39Z,0.8491,positive,"Its important to recognize the head start that China, and to some extent South Korea, has. It will take a little time to build up the scale and the supply chains and get them as efficient as they are… [+3110 chars]"
fortune,2023-11-04T14:30:46Z,-0.6669,negative,"After years of pumping cash into the sizzling electric-vehicle market, Tesla Inc. and other major automakers are facing a new dilemma: what to do when demand chills.While the battery-powered vehicle … [+6586 chars]"
cnn,2023-11-14T14:35:22Z,0.0,neutral,"Editors Note: Sign up for Unlocking the World, CNN Travels weekly newsletter. Get the latest news in aviation, food and drink, where to stay and other travel developments.
Spotting the tiny Elektra … [+10260 chars]"
abc-news,2023-10-31T13:42:54Z,0.0,neutral,"RALEIGH, N.C. -- Toyota will invest an additional $8 billion in the hybrid and electric vehicle battery factory it's constructing in North Carolina, more than doubling its prior investments and expec… [+3480 chars]"
abc-news,2023-11-04T05:50:54Z,-0.9587,negative,"CANBERRA, Australia -- Prime Minister Anthony Albanese said Saturday he would protest a lack of transparency in Chinas treatment of a detained Australian democracy blogger when meeting with President… [+4065 chars]"
abc-news,2023-11-02T12:22:28Z,-0.6795,negative,WASHINGTON -- Treasury Secretary Janet Yellen wants Latin America to trade more with the United States as part of an initiative that so far has failed to disrupt Chinas dominance in global manufactur… [+3661 chars]
abc-news,2023-11-02T12:22:34Z,-0.6795,negative,WASHINGTON -- Treasury Secretary Janet Yellen wants Latin America to trade more with the United States as part of an initiative that so far has failed to disrupt Chinas dominance in global manufactur… [+3661 chars]
abc-news,2023-11-01T06:22:38Z,0.6487,positive,"TOKYO -- Toyotas July-September profit jumped nearly threefold from a year ago as vehicle sales grew around the world and a cheap yen boosted the Japanese automakers overseas earnings.
Toyota Motor … [+2983 chars]"
abc-news,2023-10-29T08:22:22Z,0.6301,positive,TOKYO -- Trade and economy officials from the Group of Seven wealthy democracies strengthened their pledge Sunday to work together to ensure smooth supply chains for essentials like energy and food d… [+3548 chars]
abc-news,2023-11-15T17:34:15Z,-0.7607,negative,"RABAT, Morocco -- A mining company controlled by Morocco 's royal family on Wednesday denied claims that operations at a site used to mine minerals for car batteries were causing hazardous levels of … [+2909 chars]"
national-geographic,2023-11-16T00:00:00Z,-0.6865,negative,"As a participant in multiple affiliate marketing programs, National Geographic will earn a commission for certain purchases. See full disclaimer below.*
This year set new records for travel, a trend… [+5010 chars]"
abc-news,2023-11-04T14:38:27Z,-0.9587,negative,"CANBERRA, Australia -- Prime Minister Anthony Albanese said Saturday he would protest a lack of transparency in Chinas treatment of a detained Australian democracy blogger when meeting with President… [+4464 chars]"
the-verge,2023-11-13T13:30:00Z,-0.473,negative,"Apple stunned the world when it came out in support of Californias right-to-repair law. But software locks and other obstacles seem to signal that the fight is far from over.
Nov 13, 2023, 1:30 PM U… [+19903 chars]"
fortune,2023-11-11T11:00:00Z,0.8039,positive,"In June 2021, Brian Deese, the director of Joe Bidens National Economic Council, planted a flag in the ground. I am excited to lay out our vision for a 21st-century American industrial strategy, he s… [+19426 chars]"
the-verge,2023-11-14T13:30:00Z,-0.8655,negative,"How to electrify your life when you rent
How to electrify your life when you rent
 / Homeowners who want to reduce their carbon footprint by getting rid of polluting appliances have the US governme… [+8933 chars]"
business-insider,2023-11-09T19:47:46Z,-0.7688,negative,"Car fires have always been dangerous and difficult for firefighters, but highly combustible chemicals in electric car batteries are posing new challenges.
Not unlike the gasoline tanks in internal-c… [+3052 chars]"
fox-news,2023-11-14T16:07:45Z,-0.7301,negative,The New York Fire Department is warning of the dangers of non-safety certified lithium-ion batteries after an e-scooter battery was determined to be the cause of a fire that claimed the lives of thre… [+3088 chars]
breitbart-news,2023-11-07T15:32:13Z,0.0,neutral,"LISBON, Portugal (AP) – Portuguese Prime Minister António Costa said Tuesday he is resigning after being involved in a widespread corruption probe.
Costa said in a nationally televised address that … [+2545 chars]"
ars-technica,2023-11-09T19:00:00Z,0.2814,positive,"9 with 
There's a lot to like about electric vehicles. They're quiet, reliable, and about twice as efficient as the most frugal hybrid, not to mention that whole ""instant torque"" thing. But there's … [+2686 chars]"
breitbart-news,2023-10-31T18:55:02Z,0.3935,positive,"After investing billions to adhere to President Joe Biden’s green energy agenda, General Motors (GM) is backtracking on all fronts when it comes to Electric Vehicles (EVs).
As GM was the last of the… [+3230 chars]"
fox-news,2023-11-14T21:57:41Z,-0.828,negative,"New York City officials say retailers and food delivery companies must do more to halt the proliferation of unsafe e-bike and e-scooter batteries, after a fire blamed on an electric scooter's lithium… [+3610 chars]"
fox-news,2023-11-16T10:00:34Z,-0.4375,negative,"When California Democrat Gov. Gavin Newsom, admitted that clean-up efforts in San Francisco this week were a consequence of ""fancy leaders coming into town,"" he did more than say the quiet part out l… [+5203 chars]"
breitbart-news,2023-11-15T05:16:40Z,0.0,neutral,Rural communities in the Democratic Republic of Congo (DRC) are facing an “environmental catastrophe” as mining for cobalt and other minerals necessary for manufacturing batteries poisons their land … [+7058 chars]
techradar,2023-10-30T13:00:29Z,-0.5295,negative,"Yeedi Cube: One-minute review
The Yeedi Cube comes among a litany of combo robot vacuums capable of both vacuuming and mopping. In that regard, it’s one of many. What sets it apart then is the fact … [+15208 chars]"
fox-news,2023-11-02T08:00:19Z,-0.4456,negative,"President Biden will meet with Chilean President Gabriel Boric even as the South American leaders government recalls its diplomats from Israel, a measure several countries have initiated. 
The leade… [+4533 chars]"
techradar,2023-11-06T14:09:28Z,0.0,neutral,"Two-minute review
Apple’s October reveal of the MacBook Pro 16-inch (M3) range was both an unexpected, in terms of its timing, and a risky one. We expected that Apple would bring out a successor to … [+25404 chars]"
breitbart-news,2023-10-27T22:28:20Z,0.3316,positive,"After investing billions into a green energy agenda mimicking President Joe Biden’s federal rules, American automakers are quickly learning that Americans are not buying electric vehicles (EVs) at th… [+5334 chars]"
techcrunch,2023-11-16T12:40:38Z,0.0,neutral,"Battery cells produced at Toyota’s future North American EV factory will someday contain a little Redwood Materials DNA.
The two companies announced Thursday that Redwood Materials will supply Toyot… [+2780 chars]"
the-verge,2023-11-16T13:30:00Z,-0.9134,negative,"The effort to climate-proof our housing is running into a mess of problems, including aging housing stock, out-of-date zoning laws, and NIMBY-ism. Can we build our way to a better future?
ByAbigail … [+17047 chars]"
reuters,2023-11-06T11:15:32Z,-0.5973,negative,"ROME, Nov 6 (Reuters) - Italy's Industrie De Nora (DNR.MI) said its plant in Souzhou, in China, would triple its production capacity, in line with the electrode maker's plans to increase manufacturin… [+907 chars]"
reuters,2023-11-13T20:17:28Z,0.0,neutral,"WASHINGTON, Nov 13 (Reuters) - Democratic Senator Joe Manchin urged the U.S. Treasury on Monday to adopt the ""strictest possible standards"" to prevent Chinese-produced minerals or Chinese battery com… [+2466 chars]"
engadget,2023-11-01T04:57:10Z,-0.6099,negative,"Your EV may go a long way between charges, but can it carry dozens of passengers? GreenPower can boast both of those things with its latest electric school bus called ""Mega Beast,"" it announced in a … [+1575 chars]"
politico,2023-11-06T10:00:00Z,0.5868,positive,"The administration is well aware of the high stakes in how it opts to interpret that prohibition, both for the success of Bidens climate ambitions and for his ability to persuade voters that his poli… [+11359 chars]"
