"Country","Code","Year","Oil_production_TWh"
"Brazil","BRA",1900,0
"Brazil","BRA",1901,0
"Brazil","BRA",1902,0
"Brazil","BRA",1903,0
"Brazil","BRA",1904,0
"Brazil","BRA",1905,0
"Brazil","BRA",1906,0
"Brazil","BRA",1907,0
"Brazil","BRA",1908,0
"Brazil","BRA",1909,0
"Brazil","BRA",1910,0
"Brazil","BRA",1911,0
"Brazil","BRA",1912,0
"Brazil","BRA",1913,0
"Brazil","BRA",1914,0
"Brazil","BRA",1915,0
"Brazil","BRA",1916,0
"Brazil","BRA",1917,0
"Brazil","BRA",1918,0
"Brazil","BRA",1919,0
"Brazil","BRA",1920,0
"Brazil","BRA",1921,0
"Brazil","BRA",1922,0
"Brazil","BRA",1923,0
"Brazil","BRA",1924,0
"Brazil","BRA",1925,0
"Brazil","BRA",1926,0
"Brazil","BRA",1927,0
"Brazil","BRA",1928,0
"Brazil","BRA",1929,0
"Brazil","BRA",1930,0
"Brazil","BRA",1931,0
"Brazil","BRA",1932,0
"Brazil","BRA",1933,0
"Brazil","BRA",1934,0
"Brazil","BRA",1935,0
"Brazil","BRA",1936,0
"Brazil","BRA",1937,0
"Brazil","BRA",1938,0
"Brazil","BRA",1939,0
"Brazil","BRA",1940,0
"Brazil","BRA",1941,0
"Brazil","BRA",1942,0.04652
"Brazil","BRA",1943,0.06978
"Brazil","BRA",1944,0.09304
"Brazil","BRA",1945,0.1163
"Brazil","BRA",1946,0.10467
"Brazil","BRA",1947,0.15119
"Brazil","BRA",1948,0.22097
"Brazil","BRA",1949,0.16282
"Brazil","BRA",1950,0.51172
"Brazil","BRA",1951,1.0467
"Brazil","BRA",1952,1.13974
"Brazil","BRA",1953,1.38397
"Brazil","BRA",1954,1.50027
"Brazil","BRA",1955,3.07032
"Brazil","BRA",1956,6.17553
"Brazil","BRA",1957,15.36323
"Brazil","BRA",1958,28.76099
"Brazil","BRA",1959,35.85529
"Brazil","BRA",1960,45.0081
"Brazil","BRA",1961,52.90487
"Brazil","BRA",1962,50.78821
"Brazil","BRA",1963,54.30047
"Brazil","BRA",1964,50.62539
"Brazil","BRA",1965,58.675575
"Brazil","BRA",1966,71.632545
"Brazil","BRA",1967,90.1425
"Brazil","BRA",1968,99.05112
"Brazil","BRA",1969,108.03546
"Brazil","BRA",1970,102.25953
"Brazil","BRA",1971,107.041916
"Brazil","BRA",1972,104.99714
"Brazil","BRA",1973,106.482506
"Brazil","BRA",1974,111.1111
"Brazil","BRA",1975,108.2866
"Brazil","BRA",1976,105.45653
"Brazil","BRA",1977,101.61979
"Brazil","BRA",1978,101.04517
"Brazil","BRA",1979,104.676834
"Brazil","BRA",1980,114.915504
"Brazil","BRA",1981,134.21123
"Brazil","BRA",1982,163.54337
"Brazil","BRA",1983,207.35083
"Brazil","BRA",1984,290.23807
"Brazil","BRA",1985,342.74146
"Brazil","BRA",1986,360.37137
"Brazil","BRA",1987,358.51154
"Brazil","BRA",1988,350.34323
"Brazil","BRA",1989,374.16556
"Brazil","BRA",1990,396.90588
"Brazil","BRA",1991,392.28058
"Brazil","BRA",1992,398.22037
"Brazil","BRA",1993,406.4251
"Brazil","BRA",1994,421.4718
"Brazil","BRA",1995,436.17145
"Brazil","BRA",1996,494.66245
"Brazil","BRA",1997,530.28345
"Brazil","BRA",1998,612.65924
"Brazil","BRA",1999,691.94525
"Brazil","BRA",2000,780.2455
"Brazil","BRA",2001,816.74133
"Brazil","BRA",2002,914.1956
"Brazil","BRA",2003,948.01917
"Brazil","BRA",2004,940.91486
"Brazil","BRA",2005,1034.8539
"Brazil","BRA",2006,1093.6329
"Brazil","BRA",2007,1109.1145
"Brazil","BRA",2008,1152.7557
"Brazil","BRA",2009,1232.6158
"Brazil","BRA",2010,1298.3738
"Brazil","BRA",2011,1326.1354
"Brazil","BRA",2012,1306.8228
"Brazil","BRA",2013,1281.0779
"Brazil","BRA",2014,1424.1478
"Brazil","BRA",2015,1537.4033
"Brazil","BRA",2016,1589.9032
"Brazil","BRA",2017,1658.9243
"Brazil","BRA",2018,1635.2148
"Brazil","BRA",2019,1758.4464
"Brazil","BRA",2020,1853.1815
"Brazil","BRA",2021,1824.239
"Brazil","BRA",2022,1896.3617
"Canada","CAN",1900,1.41886
"Canada","CAN",1901,1.17463
"Canada","CAN",1902,0.82573
"Canada","CAN",1903,0.75595
"Canada","CAN",1904,0.86062
"Canada","CAN",1905,0.98855
"Canada","CAN",1906,0.88388
"Canada","CAN",1907,1.22115
"Canada","CAN",1908,0.8141
"Canada","CAN",1909,0.65128
"Canada","CAN",1910,0.48846
"Canada","CAN",1911,0.45357
"Canada","CAN",1912,0.37216
"Canada","CAN",1913,0.3489
"Canada","CAN",1914,0.33727
"Canada","CAN",1915,0.33727
"Canada","CAN",1916,0.30238
"Canada","CAN",1917,0.33727
"Canada","CAN",1918,0.47683
"Canada","CAN",1919,0.37216
"Canada","CAN",1920,0.30238
"Canada","CAN",1921,0.31401
"Canada","CAN",1922,0.30238
"Canada","CAN",1923,0.29075
"Canada","CAN",1924,0.26749
"Canada","CAN",1925,0.55824
"Canada","CAN",1926,0.54661
"Canada","CAN",1927,0.70943
"Canada","CAN",1928,0.9304
"Canada","CAN",1929,1.67472
"Canada","CAN",1930,2.27948
"Canada","CAN",1931,2.30274
"Canada","CAN",1932,1.55842
"Canada","CAN",1933,1.70961
"Canada","CAN",1934,2.10503
"Canada","CAN",1935,2.16318
"Canada","CAN",1936,2.24459
"Canada","CAN",1937,3.59367
"Canada","CAN",1938,10.15299
"Canada","CAN",1939,11.82771
"Canada","CAN",1940,13.11864
"Canada","CAN",1941,15.4679
"Canada","CAN",1942,15.8168
"Canada","CAN",1943,15.06085
"Canada","CAN",1944,15.16552
"Canada","CAN",1945,12.68833
"Canada","CAN",1946,11.23458
"Canada","CAN",1947,11.42066
"Canada","CAN",1948,18.57311
"Canada","CAN",1949,32.73845
"Canada","CAN",1950,45.42678
"Canada","CAN",1951,74.47852
"Canada","CAN",1952,95.78468
"Canada","CAN",1953,126.54603
"Canada","CAN",1954,150.2945
"Canada","CAN",1955,202.4783
"Canada","CAN",1956,269.01352
"Canada","CAN",1957,284.45816
"Canada","CAN",1958,258.87216
"Canada","CAN",1959,289.04037
"Canada","CAN",1960,296.66968
"Canada","CAN",1961,345.66687
"Canada","CAN",1962,382.21994
"Canada","CAN",1963,403.03766
"Canada","CAN",1964,429.5773
"Canada","CAN",1965,510.25668
"Canada","CAN",1966,560.70734
"Canada","CAN",1967,612.9143
"Canada","CAN",1968,664.29785
"Canada","CAN",1969,723.5959
"Canada","CAN",1970,814.8895
"Canada","CAN",1971,874.15466
"Canada","CAN",1972,1008.47394
"Canada","CAN",1973,1166.6589
"Canada","CAN",1974,1097.7156
"Canada","CAN",1975,948.72656
"Canada","CAN",1976,875.7928
"Canada","CAN",1977,878.9293
"Canada","CAN",1978,874.45825
"Canada","CAN",1979,1003.3732
"Canada","CAN",1980,968.42413
"Canada","CAN",1981,876.45544
"Canada","CAN",1982,867.18097
"Canada","CAN",1983,913.65857
"Canada","CAN",1984,974.7762
"Canada","CAN",1985,996.51917
"Canada","CAN",1986,997.11
"Canada","CAN",1987,1050.1238
"Canada","CAN",1988,1105.9545
"Canada","CAN",1989,1077.1763
"Canada","CAN",1990,1078.7738
"Canada","CAN",1991,1084.0847
"Canada","CAN",1992,1129.9681
"Canada","CAN",1993,1189.5297
"Canada","CAN",1994,1240.8297
"Canada","CAN",1995,1301.4706
"Canada","CAN",1996,1342.7246
"Canada","CAN",1997,1403.7892
"Canada","CAN",1998,1454.7723
"Canada","CAN",1999,1407.1923
"Canada","CAN",2000,1454.7485
"Canada","CAN",2001,1467.3573
"Canada","CAN",2002,1546.8191
"Canada","CAN",2003,1635.5128
"Canada","CAN",2004,1688.1901
"Canada","CAN",2005,1659.3553
"Canada","CAN",2006,1756.1113
"Canada","CAN",2007,1810.4688
"Canada","CAN",2008,1782.1812
"Canada","CAN",2009,1781.1637
"Canada","CAN",2010,1868.1315
"Canada","CAN",2011,1978.6213
"Canada","CAN",2012,2127.2776
"Canada","CAN",2013,2272.614
"Canada","CAN",2014,2439.7065
"Canada","CAN",2015,2512.9456
"Canada","CAN",2016,2545.1667
"Canada","CAN",2017,2751.9355
"Canada","CAN",2018,2997.575
"Canada","CAN",2019,3064.065
"Canada","CAN",2020,2931.024
"Canada","CAN",2021,3100.7773
"Canada","CAN",2022,3186.427
"China","CHN",1900,0
"China","CHN",1901,0
"China","CHN",1902,0
"China","CHN",1903,0
"China","CHN",1904,0
"China","CHN",1905,0
"China","CHN",1906,0
"China","CHN",1907,0
"China","CHN",1908,0
"China","CHN",1909,0
"China","CHN",1910,0
"China","CHN",1911,0
"China","CHN",1912,0
"China","CHN",1913,0
"China","CHN",1914,0
"China","CHN",1915,0
"China","CHN",1916,0
"China","CHN",1917,0
"China","CHN",1918,0
"China","CHN",1919,0
"China","CHN",1920,0
"China","CHN",1921,0
"China","CHN",1922,0
"China","CHN",1923,0
"China","CHN",1924,0
"China","CHN",1925,0
"China","CHN",1926,0.02326
"China","CHN",1927,0.03489
"China","CHN",1928,0.03489
"China","CHN",1929,0.04652
"China","CHN",1930,0.5815
"China","CHN",1931,0.70943
"China","CHN",1932,0.8141
"China","CHN",1933,1.01181
"China","CHN",1934,1.06996
"China","CHN",1935,1.63983
"China","CHN",1936,1.93058
"China","CHN",1937,2.25622
"China","CHN",1938,3.16336
"China","CHN",1939,4.46592
"China","CHN",1940,6.80355
"China","CHN",1941,7.71069
"China","CHN",1942,9.50171
"China","CHN",1943,3.61693
"China","CHN",1944,2.33763
"China","CHN",1945,2.03525
"China","CHN",1946,0.8141
"China","CHN",1947,0.60476
"China","CHN",1948,0.84899
"China","CHN",1949,1.37234
"China","CHN",1950,2.34926
"China","CHN",1951,3.55878
"China","CHN",1952,5.07068
"China","CHN",1953,7.23386
"China","CHN",1954,9.17607
"China","CHN",1955,11.23458
"China","CHN",1956,13.52569
"China","CHN",1957,16.9798
"China","CHN",1958,26.33032
"China","CHN",1959,43.031
"China","CHN",1960,63.965
"China","CHN",1961,72.106
"China","CHN",1962,79.084
"China","CHN",1963,87.225
"China","CHN",1964,98.855
"China","CHN",1965,131.53531
"China","CHN",1966,169.2165
"China","CHN",1967,161.42441
"China","CHN",1968,185.9637
"China","CHN",1969,252.8362
"China","CHN",1970,356.4595
"China","CHN",1971,458.33832
"China","CHN",1972,531.1421
"China","CHN",1973,623.4843
"China","CHN",1974,754.2055
"China","CHN",1975,896.20776
"China","CHN",1976,1013.67084
"China","CHN",1977,1089.0332
"China","CHN",1978,1210.1016
"China","CHN",1979,1234.5245
"China","CHN",1980,1232.1985
"China","CHN",1981,1177.1886
"China","CHN",1982,1187.6556
"China","CHN",1983,1233.5941
"China","CHN",1984,1332.9143
"China","CHN",1985,1452.587
"China","CHN",1986,1519.9247
"China","CHN",1987,1560.0482
"China","CHN",1988,1593.8916
"China","CHN",1989,1600.7532
"China","CHN",1990,1608.5453
"China","CHN",1991,1639.7137
"China","CHN",1992,1651.9252
"China","CHN",1993,1675.0688
"China","CHN",1994,1698.9104
"China","CHN",1995,1733.1027
"China","CHN",1996,1843.5876
"China","CHN",1997,1862.312
"China","CHN",1998,1862.8933
"China","CHN",1999,1863.3586
"China","CHN",2000,1891.2705
"China","CHN",2001,1916.9729
"China","CHN",2002,1940.6516
"China","CHN",2003,1972.2737
"China","CHN",2004,2024.2131
"China","CHN",2005,2109.1343
"China","CHN",2006,2148.8252
"China","CHN",2007,2166.8809
"China","CHN",2008,2214.8127
"China","CHN",2009,2203.7688
"China","CHN",2010,2361.053
"China","CHN",2011,2359.4421
"China","CHN",2012,2412.9692
"China","CHN",2013,2441.8267
"China","CHN",2014,2458.9192
"China","CHN",2015,2495.3328
"China","CHN",2016,2322.3364
"China","CHN",2017,2227.2148
"China","CHN",2018,2201.8381
"China","CHN",2019,2228.6338
"China","CHN",2020,2265.1636
"China","CHN",2021,2312.986
"China","CHN",2022,2380.8936
"Iran","IRN",1900,0
"Iran","IRN",1901,0
"Iran","IRN",1902,0
"Iran","IRN",1903,0
"Iran","IRN",1904,0
"Iran","IRN",1905,0
"Iran","IRN",1906,0.01163
"Iran","IRN",1907,0
"Iran","IRN",1908,0
"Iran","IRN",1909,0
"Iran","IRN",1910,0
"Iran","IRN",1911,0.51172
"Iran","IRN",1912,0.95366
"Iran","IRN",1913,3.23314
"Iran","IRN",1914,4.44266
"Iran","IRN",1915,5.31491
"Iran","IRN",1916,7.60602
"Iran","IRN",1917,10.60656
"Iran","IRN",1918,13.07212
"Iran","IRN",1919,16.37504
"Iran","IRN",1920,20.60836
"Iran","IRN",1921,27.50495
"Iran","IRN",1922,34.97141
"Iran","IRN",1923,43.89162
"Iran","IRN",1924,51.20689
"Iran","IRN",1925,53.83527
"Iran","IRN",1926,57.09167
"Iran","IRN",1927,63.31372
"Iran","IRN",1928,67.02369
"Iran","IRN",1929,64.53487
"Iran","IRN",1930,70.18705
"Iran","IRN",1931,67.95409
"Iran","IRN",1932,76.16487
"Iran","IRN",1933,83.736
"Iran","IRN",1934,89.06254
"Iran","IRN",1935,88.48104
"Iran","IRN",1936,96.8779
"Iran","IRN",1937,120.1379
"Iran","IRN",1938,120.47517
"Iran","IRN",1939,113.18316
"Iran","IRN",1940,101.79739
"Iran","IRN",1941,77.93263
"Iran","IRN",1942,111.03161
"Iran","IRN",1943,114.69506
"Iran","IRN",1944,156.8538
"Iran","IRN",1945,198.9893
"Iran","IRN",1946,226.76173
"Iran","IRN",1947,238.63597
"Iran","IRN",1948,293.8901
"Iran","IRN",1949,316.7663
"Iran","IRN",1950,375.1838
"Iran","IRN",1951,196.38419
"Iran","IRN",1952,15.8168
"Iran","IRN",1953,15.60746
"Iran","IRN",1954,40.72826
"Iran","IRN",1955,191.09253
"Iran","IRN",1956,306.27606
"Iran","IRN",1957,418.55206
"Iran","IRN",1958,480.02826
"Iran","IRN",1959,539.38776
"Iran","IRN",1960,622.10034
"Iran","IRN",1961,689.71716
"Iran","IRN",1962,765.35864
"Iran","IRN",1963,855.4679
"Iran","IRN",1964,984.03754
"Iran","IRN",1965,1112.55
"Iran","IRN",1966,1243.164
"Iran","IRN",1967,1517.8029
"Iran","IRN",1968,1660.5339
"Iran","IRN",1969,1968.5372
"Iran","IRN",1970,2239.7864
"Iran","IRN",1971,2659.6023
"Iran","IRN",1972,2950.6582
"Iran","IRN",1973,3435.2354
"Iran","IRN",1974,3526.1836
"Iran","IRN",1975,3133.9348
"Iran","IRN",1976,3453.717
"Iran","IRN",1977,3321.8525
"Iran","IRN",1978,3079.8574
"Iran","IRN",1979,1866.4425
"Iran","IRN",1980,862.45776
"Iran","IRN",1981,769.4381
"Iran","IRN",1982,1396.675
"Iran","IRN",1983,1428.5646
"Iran","IRN",1984,1192.2871
"Iran","IRN",1985,1283.3833
"Iran","IRN",1986,1194.3988
"Iran","IRN",1987,1357.5194
"Iran","IRN",1988,1365.1671
"Iran","IRN",1989,1672.8422
"Iran","IRN",1990,1893.2347
"Iran","IRN",1991,2027.9333
"Iran","IRN",1992,2043.1453
"Iran","IRN",1993,2143.3389
"Iran","IRN",1994,2151.3699
"Iran","IRN",1995,2156.8594
"Iran","IRN",1996,2170.6436
"Iran","IRN",1997,2174.3757
"Iran","IRN",1998,2218.8591
"Iran","IRN",1999,2071.5051
"Iran","IRN",2000,2229.0667
"Iran","IRN",2001,2207.4316
"Iran","IRN",2002,2083.1982
"Iran","IRN",2003,2350.3044
"Iran","IRN",2004,2428.724
"Iran","IRN",2005,2417.5408
"Iran","IRN",2006,2449.531
"Iran","IRN",2007,2480.1643
"Iran","IRN",2008,2505.3982
"Iran","IRN",2009,2409.9597
"Iran","IRN",2010,2465.9385
"Iran","IRN",2011,2471.7043
"Iran","IRN",2012,2098.9683
"Iran","IRN",2013,1973.2856
"Iran","IRN",2014,2024.1608
"Iran","IRN",2015,2096.2253
"Iran","IRN",2016,2513.76
"Iran","IRN",2017,2697.5283
"Iran","IRN",2018,2554.3416
"Iran","IRN",2019,1844.6189
"Iran","IRN",2020,1678.9973
"Iran","IRN",2021,1963.0627
"Iran","IRN",2022,2053.1738
"Iraq","IRQ",1900,0
"Iraq","IRQ",1901,0
"Iraq","IRQ",1902,0
"Iraq","IRQ",1903,0
"Iraq","IRQ",1904,0
"Iraq","IRQ",1905,0
"Iraq","IRQ",1906,0
"Iraq","IRQ",1907,0
"Iraq","IRQ",1908,0
"Iraq","IRQ",1909,0
"Iraq","IRQ",1910,0
"Iraq","IRQ",1911,0
"Iraq","IRQ",1912,0
"Iraq","IRQ",1913,0
"Iraq","IRQ",1914,0
"Iraq","IRQ",1915,0
"Iraq","IRQ",1916,0
"Iraq","IRQ",1917,0
"Iraq","IRQ",1918,0
"Iraq","IRQ",1919,0
"Iraq","IRQ",1920,0
"Iraq","IRQ",1921,0
"Iraq","IRQ",1922,0
"Iraq","IRQ",1923,0
"Iraq","IRQ",1924,0
"Iraq","IRQ",1925,0
"Iraq","IRQ",1926,0
"Iraq","IRQ",1927,0.52335
"Iraq","IRQ",1928,1.09322
"Iraq","IRQ",1929,1.40723
"Iraq","IRQ",1930,1.40723
"Iraq","IRQ",1931,1.3956
"Iraq","IRQ",1932,1.41886
"Iraq","IRQ",1933,1.33745
"Iraq","IRQ",1934,10.86242
"Iraq","IRQ",1935,41.37954
"Iraq","IRQ",1936,45.28722
"Iraq","IRQ",1937,47.83419
"Iraq","IRQ",1938,48.12494
"Iraq","IRQ",1939,46.08969
"Iraq","IRQ",1940,29.15641
"Iraq","IRQ",1941,18.22421
"Iraq","IRQ",1942,30.17985
"Iraq","IRQ",1943,41.54236
"Iraq","IRQ",1944,48.42732
"Iraq","IRQ",1945,53.57941
"Iraq","IRQ",1946,54.4284
"Iraq","IRQ",1947,54.68426
"Iraq","IRQ",1948,39.84438
"Iraq","IRQ",1949,47.29921
"Iraq","IRQ",1950,76.57192
"Iraq","IRQ",1951,99.92496
"Iraq","IRQ",1952,215.39923
"Iraq","IRQ",1953,327.8032
"Iraq","IRQ",1954,356.16876
"Iraq","IRQ",1955,386.59283
"Iraq","IRQ",1956,366.05426
"Iraq","IRQ",1957,255.83675
"Iraq","IRQ",1958,416.5517
"Iraq","IRQ",1959,487.7622
"Iraq","IRQ",1960,552.0412
"Iraq","IRQ",1961,569.6258
"Iraq","IRQ",1962,571.82385
"Iraq","IRQ",1963,659.0605
"Iraq","IRQ",1964,716.722
"Iraq","IRQ",1965,752.17535
"Iraq","IRQ",1966,797.43195
"Iraq","IRQ",1967,703.4816
"Iraq","IRQ",1968,863.37915
"Iraq","IRQ",1969,871.33185
"Iraq","IRQ",1970,887.37213
"Iraq","IRQ",1971,970.4379
"Iraq","IRQ",1972,842.125
"Iraq","IRQ",1973,1156.0471
"Iraq","IRQ",1974,1131.332
"Iraq","IRQ",1975,1299.1066
"Iraq","IRQ",1976,1390.0804
"Iraq","IRQ",1977,1348.9895
"Iraq","IRQ",1978,1472.1066
"Iraq","IRQ",1979,1996.2805
"Iraq","IRQ",1980,1524.3804
"Iraq","IRQ",1981,517.584
"Iraq","IRQ",1982,564.10254
"Iraq","IRQ",1983,632.14026
"Iraq","IRQ",1984,704.0628
"Iraq","IRQ",1985,812.2264
"Iraq","IRQ",1986,1083.7975
"Iraq","IRQ",1987,1363.688
"Iraq","IRQ",1988,1589.8123
"Iraq","IRQ",1989,1616.1876
"Iraq","IRQ",1990,1224.6495
"Iraq","IRQ",1991,162.1561
"Iraq","IRQ",1992,304.08456
"Iraq","IRQ",1993,259.72107
"Iraq","IRQ",1994,288.36447
"Iraq","IRQ",1995,302.68616
"Iraq","IRQ",1996,332.23203
"Iraq","IRQ",1997,664.58966
"Iraq","IRQ",1998,1211.6783
"Iraq","IRQ",1999,1491.8107
"Iraq","IRQ",2000,1497.8922
"Iraq","IRQ",2001,1440.6339
"Iraq","IRQ",2002,1208.0497
"Iraq","IRQ",2003,767.865
"Iraq","IRQ",2004,1162.3728
"Iraq","IRQ",2005,1045.9281
"Iraq","IRQ",2006,1139.9895
"Iraq","IRQ",2007,1222.1901
"Iraq","IRQ",2008,1387.679
"Iraq","IRQ",2009,1392.5465
"Iraq","IRQ",2010,1405.0623
